Name,Team,Level,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Mark Appel","HOU","AA,AAA,R","23-30",27,16,4.754562134812668,106,65,1,0,5,0,,365.1,1637,366,212,193,41,191,1,32,34,0,300,"14823"
"Dylan Covey","OAK","A+,AA,AAA,R","23-31",16,12,3.1256889600068436,64,59,0,0,0,0,,302.1,1274,282,130,105,28,103,0,12,16,0,243,"14825"
"Jon Edwards","TEX","A+,AA,AAA","27-31",10,4,3.1345644860499395,113,0,0,0,30,4,,126.1,518,93,46,44,11,52,2,0,7,1,172,"1483"
"Bobby Wahl","OAK","A+,AA,AAA","23-30",9,4,4.182352656695277,150,1,0,0,34,5,,170,721,135,91,79,18,93,4,3,21,1,234,"14832"
"Matt Dermody","TOR","A+,AA,AAA","24-32",22,9,3.7860799323212557,164,23,1,0,5,3,,325.2,1411,372,157,137,30,66,1,17,8,0,294,"14844"
"Joe Mantiply","DET","AA,AAA,CPX","24-32",17,10,2.8148149487594765,164,7,0,0,8,5,,243,995,224,89,76,15,50,2,8,7,0,233,"14857"
"Kyle Martin","BOS","AA,AAA,R","24-27",10,11,3.762634172781749,129,0,0,0,13,8,,217.2,928,199,97,91,17,91,6,13,23,1,237,"14860"
"Zack Godley","ARI","A+,AA,AAA","25-32",24,18,3.7870839432951806,76,54,1,0,0,2,,330.1,1410,305,167,139,30,143,1,27,23,2,302,"14862"
"Nick Rumbelow","NYY","AA,AAA","23-27",11,6,3.7155963627841175,102,0,0,0,16,11,,145.1,618,133,68,60,11,49,0,2,16,0,156,"14867"
"Sam Moll","COL","A+,AA,AAA,R","23-29",10,14,3.599999925093219,221,0,0,0,9,9,,275,1179,261,136,110,23,102,4,13,15,1,285,"14874"
"Caleb Smith","NYY","AA,AAA,CPX","23-31",25,18,3.611465015944915,89,61,3,2,3,2,,366.1,1544,322,166,147,32,134,1,20,8,1,336,"14875"
"Taylor Williams","MIL","AA,AAA","25-31",8,6,4.36052180575438,152,17,0,0,9,7,,204.1,898,196,116,99,22,95,4,17,17,0,222,"14899"
"Jason Hursh","ATL","AA,AAA","23-27",15,21,3.8114510993594966,202,16,0,0,20,14,,337.2,1473,356,165,143,9,138,4,10,33,4,256,"14914"
"Jon Gray","COL","A+,AAA","23-29",7,7,3.8741722343668683,29,28,1,0,0,0,,151,663,163,79,65,13,55,2,4,12,2,158,"14916"
"Ben Lively","PHI","AA,AAA,R","23-31",48,26,3.3977215120578252,130,110,3,1,3,1,,643.2,2657,579,259,243,53,193,1,27,9,5,556,"14932"
"Aaron Blair","ARI","AA,AAA","23-29",25,22,4.019344209794209,74,73,3,0,0,0,,396.1,1707,380,194,177,31,163,3,23,31,0,321,"14934"
"Jose Torres","OAK","A,A+,AA,AAA","21-22",5,9,2.4141178447842346,95,0,0,0,11,8,,141.2,567,100,41,38,7,47,3,4,6,1,147,"14957"
"Rookie Davis","NYY","A+,AA,AAA,R","22-26",25,25,4.349282336342573,87,77,1,0,0,0,,418,1777,435,223,202,45,112,1,14,14,1,345,"14962"
"Reyes Moronta","SFG","A,A+,AA,AAA,R","22-30",6,13,4.244972385271756,179,2,0,0,34,14,,182.1,809,161,95,86,14,103,1,2,20,0,255,"14966"
"Tyler Webb","NYY","AAA","24-30",11,13,3.550578073827689,152,6,0,0,4,12,,230.2,970,214,102,91,23,72,1,5,9,1,273,"14974"
"Chad Kuhl","PIT","AA,AAA","22-29",18,8,2.3620459847834074,45,45,1,0,0,0,,247.2,1004,219,81,65,19,64,0,8,8,0,182,"14975"
"Giovanny Gallegos","NYY","A+,AA,AAA","23-27",16,6,1.8026124868479108,136,0,0,0,17,10,,229.2,881,148,54,46,12,47,3,5,14,3,297,"14986"
"Scott Barlow","LAD","A,A+,AA,AAA,R","22-26",20,23,3.7324172166504925,88,80,0,0,2,1,,412.1,1774,368,217,171,40,179,2,24,26,1,406,"14993"
"Jairo Labourt","TOR","A+,AA,AAA,R","21-24",11,24,4.445520509256535,105,38,0,0,5,5,,275.1,1239,237,160,136,16,171,0,15,39,2,275,"14996"
"Luis Santos","TOR","A+,AA,AAA","24-28",23,28,4.1366038509956935,127,64,0,0,1,4,,441.2,1878,421,229,203,49,147,1,14,17,2,419,"15006"
"Yacksel Rios","PHI","A+,AA,AAA,R","22-30",20,18,3.8154814826511845,228,19,0,0,27,15,,370.1,1579,313,180,157,26,159,7,27,53,7,365,"15007"
"Kyle Finnegan","OAK","A+,AA,AAA,R","23-27",17,21,4.10192292646544,195,26,0,0,47,7,,346.2,1484,333,181,158,36,136,6,5,34,0,342,"15009"
"Alex Reyes","STL","A,A+,AA,AAA,R","20-24",11,14,3.5286343352905556,52,49,0,0,0,0,,227,959,176,100,89,12,115,0,10,21,4,337,"15015"
"Victor Alcantara","LAA","A+,AA,AAA","22-26",16,24,4.507666135424578,137,53,0,0,4,2,,391.1,1717,395,231,196,26,174,1,20,34,2,340,"15028"
"Kyle Crockett","CLE","AAA","23-26",11,7,3.8924484276400895,143,0,0,0,4,5,,145.2,627,150,72,63,10,40,4,9,5,1,140,"15033"
"Chase De Jong","TOR","A,A+,AA,AAA","21-29",40,36,4.188211213697578,127,113,3,1,0,0,,644.2,2752,627,339,300,84,203,2,30,33,0,552,"15036"
"German Marquez","TBR","A+,AA,AAA","20-22",18,19,3.307286273421718,55,51,0,0,0,1,,315.2,1310,309,139,116,22,68,1,20,12,3,277,"15038"
"Tim Mayza","TOR","A,A+,AA,AAA","23-30",14,10,3.1447587572728053,131,2,0,0,12,12,,200.1,857,177,84,70,9,91,4,2,11,1,222,"15042"
"Lou Trivino","OAK","A,A+,AA,AAA","23-30",20,13,3.490342010534585,130,10,0,0,9,7,,224.1,951,193,101,87,7,91,6,9,24,4,216,"15043"
"Trevor Gott","LAA","A-,A+,AA,AAA,R","22-29",8,9,3.8363310356003746,166,1,0,0,19,7,,185.1,789,182,92,79,9,63,4,12,11,0,199,"15046"
"Austin Voth","WSN","A-,AA,AAA,R","23-29",27,42,3.991671119620898,121,118,1,0,0,0,,640.1,2726,625,318,284,62,203,5,18,29,0,570,"15047"
"Silvino Bracho","ARI","A+,AA,AAA","22-30",10,15,3.4952494853522484,245,6,0,0,59,12,,280.2,1167,257,117,109,36,80,5,12,11,3,372,"15051"
"Jaime Schultz","TBR","A+,AA,AAA,R","24-30",21,19,4.296000019119263,157,58,0,0,8,3,,375,1650,338,200,179,35,225,4,14,25,4,491,"15066"
"Yency Almonte","CHW","A,A+,AA,AAA","21-28",35,30,3.5953002252872532,137,80,2,1,9,5,,510.2,2158,453,228,204,51,187,2,31,27,2,454,"15068"
"Kyle McGowin","LAA","A+,AA,AAA","23-31",39,45,4.472809577464576,128,118,2,1,0,1,,662,2793,633,359,329,79,215,2,30,32,1,613,"15071"
"Hunter Wood","TBR","A,A+,AA,AAA,CPX","21-28",21,19,3.1893204169565417,127,49,0,0,9,4,,412,1664,307,160,146,35,140,1,10,27,2,435,"15091"
"Rob Zastryzny","CHC","AA,AAA,CPX,R","23-31",25,29,4.696416908932559,172,75,0,0,4,2,,511.2,2230,527,307,267,64,199,4,11,28,2,482,"15094"
"Ben Heller","CLE","A+,AA,AAA,CPX","23-31",11,12,3.071307553504678,169,8,0,0,33,8,,196.1,824,143,81,67,12,71,4,24,29,1,255,"15100"
"Luke Farrell","KCR","A+,AA,AAA,R","24-32",26,24,4.078219819434533,123,87,0,0,2,0,,494.1,2118,445,246,224,54,206,0,24,28,4,485,"15101"
"Collin Wiles","TEX","A,A+,AA,AAA,R","21-28",40,42,4.612553113396833,139,120,2,1,0,2,,706.1,2966,768,402,362,96,147,0,33,19,2,514,"15106"
"Jimmie Sherfy","ARI","A+,AA,AAA,R","23-29",15,15,3.4624828262883147,222,0,0,0,79,16,,244.1,1014,187,102,94,19,104,6,12,13,4,313,"15118"
"Tyler Danish","CHW","AA,AAA","20-28",23,46,4.940559555880396,168,77,4,1,5,4,,572,2538,671,364,314,60,200,1,17,21,2,398,"15126"
"Drew Anderson","PHI","A,A+,AA,AAA","22-27",25,23,3.6397061716107992,82,79,0,0,0,0,,408,1701,336,185,165,48,149,3,23,21,3,381,"15130"
"Jake Newberry","KCR","A,A+,AA,AAA","20-27",24,16,3.4641508623627697,239,4,0,0,43,14,,353.1,1505,338,158,136,25,125,9,7,21,4,334,"15136"
"Ashton Goudeau","KCR","A,A+,AA,AAA,R","22-30",28,56,5.242424528594666,170,95,1,1,3,3,,594,2603,693,379,346,78,166,2,19,40,5,500,"15139"
"Justin Topa","PIT","A+,AA,AAA,CPX,R","25-32",9,10,4.410890657000111,90,7,0,0,3,4,,134.2,581,140,68,66,7,40,0,11,11,0,124,"15145"
"Jimmy Yacabonis","BAL","A+,AA,AAA","23-31",25,18,3.1665175169527138,239,22,0,0,35,11,,372.1,1575,307,153,131,20,156,8,24,36,1,354,"15157"
"Braden Shipley","ARI","AA,AAA,R","23-30",38,37,4.744770025940261,192,91,3,0,2,6,,637.1,2798,685,368,336,77,246,2,27,31,1,507,"15158"
"Luiz Gohara","SEA","A,A-,A+,AA,AAA","18-21",20,19,3.4322034825828553,68,67,0,0,0,0,,314.2,1344,299,143,120,21,123,2,11,22,2,354,"15166"
"Daniel Wright","CIN","AA,AAA","24-27",31,36,4.977453681631188,99,87,3,0,0,0,,502.2,2174,533,313,278,58,148,2,28,21,1,384,"15179"
"Glenn Sparkman","KCR","A,A+,AA,AAA,R","23-29",14,16,3.7873303208279183,52,45,0,0,1,0,,221,921,231,106,93,21,42,0,6,9,4,187,"15200"
"Tyler Bashlor","NYM","A,A+,AA,AAA,CPX","23-29",13,13,2.9716981132075473,182,0,0,0,37,12,,212,905,157,80,70,14,110,5,20,19,0,276,"15203"
"Kevin McGowan","NYM","A+,AA,AAA,R","23-27",26,27,4.153846058065084,165,53,0,0,6,7,,446.1,1918,449,234,206,38,162,2,10,28,2,357,"15215"
"Aaron Slegers","MIN","A+,AA,AAA,CPX","22-29",45,36,3.8571427807317398,135,112,6,2,0,0,,686,2880,701,334,294,74,166,1,36,25,2,488,"15231"
"Cody Reed","KCR","A+,AA,AAA,CPX","22-29",33,32,3.1786966469479827,116,74,1,0,2,3,,475.2,2005,440,194,168,36,171,1,24,26,1,470,"15232"
"Alan Busenitz","LAA","A+,AA,AAA","24-32",9,12,3.6210938039585026,152,9,1,0,19,6,,256,1078,258,112,103,15,76,4,16,26,0,241,"15239"
"Kevin McCarthy","KCR","A,A+,AA,AAA","23-30",12,14,3.924418695768663,159,2,0,0,28,9,,229.1,963,233,110,100,20,65,6,7,15,2,179,"15240"
"Cole Sulser","CLE","A,A+,AA,AAA","26-32",19,14,3.558935493494943,191,8,0,0,14,7,,263,1103,241,115,104,17,90,5,9,17,0,340,"15256"
"Shane Carle","COL","AA,AAA","23-29",28,25,4.6735029955192715,146,50,3,2,2,7,,406.1,1778,478,233,211,38,113,3,12,16,5,298,"15258"
"Keynan Middleton","LAA","A,A+,AA,AAA,CPX,R","21-29",10,13,4.074074166011129,121,32,0,0,12,1,,243,1029,227,116,110,26,98,0,4,14,1,244,"15264"
"Jacob Rhame","LAD","A+,AA,AAA","22-26",8,17,3.4493392360312445,189,0,0,0,26,7,,227,922,184,93,87,24,72,6,2,11,0,272,"15267"
"Zac Reininger","DET","A+,AA,AAA,R","22-28",14,12,3.2832621250983105,142,9,0,0,11,4,,233,966,211,94,85,16,78,3,6,11,0,217,"15285"
"Adam Cimber","SDP","A,AA,AAA","24-32",12,7,3.171140916446183,143,2,0,0,9,9,,198.2,806,181,78,70,20,41,4,7,2,0,144,"15288"
"Austin Pruitt","TBR","A,AA,AAA","25-33",28,25,3.5622463540318328,132,72,4,1,3,2,,492.2,2012,482,218,195,40,98,1,11,20,1,458,"15290"
"Steven Brault","PIT","A,A-,A+,AA,AAA,CPX","23-30",27,18,2.673970343777311,84,69,0,0,0,2,,380.1,1575,314,125,113,18,136,0,16,10,1,349,"15291"
"Layne Somsen","CIN","AA,AAA","26-30",13,5,2.818681141443705,111,4,0,0,8,7,,182,791,159,78,57,10,96,1,3,14,0,186,"15301"
"Donnie Hart","BAL","A,A+,AA,AAA","24-28",17,8,2.6776862152742904,182,3,0,0,26,11,,201.2,846,198,72,60,8,49,6,8,6,0,194,"15306"
"Kevin Herget","STL","A+,AA,AAA,R","24-32",39,25,3.7071691442502424,209,60,1,0,30,5,,548.2,2305,564,266,226,66,135,9,15,24,2,533,"15369"
"Kyle Lloyd","SDP","A+,AA,AAA,R","24-28",33,36,4.381714107222895,136,94,2,1,3,2,,583.1,2473,597,318,284,54,185,2,10,27,1,542,"15378"
"Andrew Heaney","LAA","A,A+,AA,AAA,CPX,R","24-31",8,5,3.7536590189809584,27,27,0,0,0,0,,136.2,580,144,67,57,8,33,0,5,8,0,148,"15423"
"Matthew Boyd","TOR","AA,AAA","24-31",15,11,2.0040486913236304,47,41,1,0,0,0,,247,953,168,62,55,21,58,1,6,5,2,243,"15440"
"Zack Weiss","CIN","A+,AA,AAA,R","23-31",15,21,4.110148243186141,215,3,0,0,46,11,,269.1,1152,231,155,123,31,124,8,6,25,8,355,"15444"
"Mike Mayers","STL","AA,AAA,R","23-31",18,25,4.074626885004314,109,69,2,1,9,1,,402,1743,406,208,182,48,146,3,20,20,2,362,"15451"
"Nick Pivetta","WSN","A+,AA,AAA","22-26",31,17,3.330170826199596,66,62,2,2,0,0,,351.1,1455,297,142,130,27,132,0,15,18,2,336,"15454"
"Jose De Leon","LAD","A,A+,AA,AAA,CPX,R","22-30",18,15,3.1688932970241837,102,72,1,1,3,0,,349.1,1439,269,140,123,34,130,1,15,11,0,461,"15463"
"Marco Gonzales","STL","A+,AA,AAA","23-25",9,9,3.8263473927925564,32,32,0,0,0,0,,167,700,166,79,71,17,46,1,7,2,0,134,"15467"
"Lucas Giolito","WSN","A,A+,AA,AAA","20-22",19,22,3.56509725428846,67,65,2,2,0,0,,361,1533,339,163,143,27,140,0,15,21,1,381,"15474"
"Antonio Senzatela","COL","A+,AA,AAA,CPX","20-28",18,13,2.985882368854008,54,54,1,0,0,0,,283.1,1165,264,110,94,21,70,0,13,14,1,236,"15488"
"Stephen Gonsalves","MIN","A,A+,AA,AAA,R","20-27",53,22,2.817780359526808,129,105,3,0,1,0,,603.2,2476,434,203,189,44,276,0,29,36,4,670,"15492"
"Kohl Stewart","MIN","A+,AA,AAA","20-26",38,38,3.8283580748194987,111,107,2,0,0,0,,580.2,2517,578,304,247,33,237,0,38,51,1,426,"15502"
"Hunter Harvey","BAL","A,A-,AA,AAA,CPX,R","21-27",6,11,4.412903001807122,62,36,0,0,1,1,,155,666,157,86,76,21,51,1,11,6,1,176,"15507"
"Jen-Ho Tseng","CHC","A-,A+,AA,AAA,R","20-24",28,35,4.23460793407478,96,95,0,0,0,0,,514.1,2214,540,276,242,49,147,2,29,18,4,393,"15524"
"Eric Yardley","SDP","A+,AA,AAA","24-31",20,18,3.2364531107431858,317,2,0,0,34,17,,406,1705,415,171,146,26,107,8,30,9,0,309,"15538"
"Tyler Rogers","SFG","A+,AA,AAA","24-28",18,12,2.7124424869105033,266,2,0,0,30,17,,361.2,1497,304,131,109,18,128,9,22,8,2,305,"15541"
"Chad Girodo","TOR","A+,AA,AAA","24-27",8,9,2.999999757323966,121,4,0,0,7,4,,168,710,176,62,56,18,46,3,6,0,4,139,"15542"
"Mark Leiter Jr.","PHI","A+,AA,AAA","24-31",29,23,3.5287529614473403,111,68,2,0,2,0,,446.1,1848,395,195,175,42,121,2,29,25,0,469,"15551"
"Chad Green","DET","A+,AA,AAA","24-28",14,22,3.1350713167648907,52,51,1,0,0,0,,281.1,1185,277,123,98,14,77,2,8,7,0,289,"15552"
"Troy Scribner","HOU","A-,A+,AA,AAA,R","23-27",27,18,4.327064844946186,88,68,2,1,2,1,,407.2,1730,355,214,196,51,177,1,11,18,2,407,"15570"
"Nick Wittgren","MIA","AA,AAA","24-32",3,12,3.0366749352273383,114,0,0,0,29,13,,136.1,553,120,52,46,13,28,1,5,7,0,142,"15594"
"Ariel Hernandez","ARI","A,A-,A+,AA,AAA","23-27",12,7,3.1082477320937354,150,0,0,0,15,8,,194,833,121,71,67,5,139,4,9,38,2,220,"15603"
"Phillips Valdez","WSN","A,A+,AA,AAA","23-31",33,34,3.9845498904627545,209,90,3,0,8,4,,625.2,2734,625,320,277,46,246,2,54,34,4,490,"15605"
"Dillon Overton","OAK","A+,AA,AAA,R","23-30",47,31,4.5871613260706345,129,110,1,0,0,0,,602.1,2584,663,329,307,86,160,0,14,19,1,477,"15627"
"Dan Slania","SFG","A+,AA,AAA","23-26",21,27,3.8220201089379082,165,42,1,1,17,12,,402.2,1684,383,193,171,42,130,3,9,31,0,382,"15639"
"Yefry Ramirez","ARI","A,A+,AA,AAA,R","21-28",40,32,3.978009928916775,126,111,4,2,0,0,,606.1,2548,518,296,268,68,224,2,40,43,8,609,"15655"
"Ronald Herrera","SDP","A+,AA,AAA,R","20-28",34,38,4.426726505964953,115,109,2,1,0,1,,593.2,2500,594,326,292,64,159,0,27,26,3,499,"15688"
"Luis Castillo","MIA","A,A+,AA,AAA","22-29",18,16,2.5961539933788123,78,57,2,0,4,1,,329.1,1328,285,105,95,12,79,0,11,15,1,294,"15689"
"Jimmy Cordero","TOR","A+,AA,AAA,R","23-30",13,15,3.5069356021228533,208,0,0,0,23,11,,264.1,1146,230,126,103,17,122,4,14,47,11,260,"15690"
"Brad Keller","ARI","A,A+,AA","19-21",27,25,3.885527488615608,76,75,0,0,0,0,,407.2,1724,417,203,176,23,120,1,19,29,1,319,"15734"
"Joe Jimenez","DET","A,A+,AA,AAA","20-26",9,5,1.5283018475066787,123,1,0,0,52,5,,123.2,476,70,23,21,5,40,3,2,4,0,177,"15761"
"Rob Kaminsky","STL","A+,AA,AAA","20-28",26,17,3.4502573632512585,168,46,0,0,7,4,,388.2,1653,360,174,149,22,152,4,19,36,6,319,"15792"
"Devin Williams","MIL","A,A+,AA,AAA","20-24",17,19,3.602163549278763,92,39,0,0,6,2,,277.1,1194,242,128,111,14,134,1,15,42,0,300,"15816"
"Dario Agrazal","PIT","A,A-,A+,AA,AAA","20-26",29,32,3.753036553171646,90,87,0,0,0,0,,494,2032,509,233,206,46,66,0,36,13,0,329,"15821"
"Zack Littell","SEA","A,A+,AA,AAA","19-27",46,27,3.238360439543141,148,101,4,0,1,2,,658.2,2740,630,276,237,45,190,0,27,31,4,613,"15823"
"Paul Fry","SEA","A+,AA,AAA","22-30",17,10,3.3637375788717057,219,6,0,0,16,15,,299.2,1300,263,130,112,15,137,6,25,13,0,372,"15832"
"Adam Plutko","CLE","A+,AA,AAA","23-29",37,34,3.7834396701230775,107,95,3,1,0,2,,575.2,2337,514,249,242,60,152,3,6,17,1,480,"15846"
"Kent Emanuel","HOU","A,AA,AAA","23-31",32,23,4.868263804347084,130,76,0,0,4,3,,501,2180,601,294,271,51,129,1,15,8,0,412,"15849"
"Jesen Therrien","PHI","A,A+,AA,AAA,R","22-24",10,4,1.7897725914997606,117,0,0,0,18,7,,176,709,134,49,35,9,53,5,5,15,1,195,"15853"
"Wander Suero","WSN","A+,AA,AAA","23-31",21,13,3.3671329120440303,191,6,0,0,35,9,,286,1217,275,126,107,18,97,7,15,20,1,250,"15855"
"Stephen Tarpley","PIT","A,A+,AA,AAA","22-28",37,14,3.145161193565824,122,43,1,1,5,5,,372,1566,312,158,130,19,127,2,36,25,0,355,"15859"
"Sean Manaea","OAK","A+,AA,AAA,R","23-27",12,4,3.102689293026776,27,27,0,0,0,0,,136.1,562,119,58,47,13,43,0,5,6,0,172,"15873"
"Fernando Romero","MIN","A,A+,AA,AAA","21-24",27,22,3.266727864062899,91,53,1,1,4,2,,363.2,1525,328,156,132,17,121,1,24,24,4,342,"15885"
"Luis Severino","NYY","A,A+,AA,AAA","21-29",18,3,3.0240002416717724,43,41,0,0,0,0,,208.1,845,174,79,70,10,51,0,7,9,1,214,"15890"
"Lewis Thorpe","MIN","A+,AA,AAA,CPX","21-26",18,18,3.9419999459588535,72,65,0,0,0,1,,333.1,1392,304,169,146,37,104,0,6,31,3,388,"15906"
"Victor Arano","PHI","A+,AA,AAA,CPX","20-27",13,18,3.6394008176948383,144,24,1,1,16,7,,289.1,1186,264,131,117,24,73,2,16,26,1,263,"15915"
"Cody Ege","TEX","A+,AA,AAA","24-26",12,7,3.288461779701657,116,0,0,0,7,6,,156,664,135,72,57,7,69,3,12,8,1,172,"15928"
"Ryne Stanek","TBR","A+,AA,AAA","23-26",15,16,3.174504830596288,106,28,0,0,14,4,,269.1,1096,202,105,95,19,116,0,6,17,0,269,"15947"
"D.J. Snelten","SFG","A,A+,AA,AAA","23-31",20,25,3.6840659726747154,160,36,2,1,4,6,,364,1577,371,190,149,20,142,3,7,41,2,358,"15949"
"Keury Mella","CIN","A+,AA,AAA","21-27",41,41,4.057340786037796,157,119,1,1,4,0,,674.1,2926,662,358,304,66,255,2,47,44,8,571,"15964"
"Akeem Bostick","HOU","A,A-,A+,AA,AAA","20-26",30,30,4.669432336969034,120,85,1,0,6,0,,522.1,2283,546,300,271,61,199,0,21,38,1,434,"15979"
"Odrisamer Despaigne","BAL","A+,AAA","29-32",13,22,3.5891240325247327,77,55,0,0,4,1,,331,1405,329,139,132,23,109,1,18,19,1,291,"16017"
"Stefan Crichton","BAL","A,A+,AA,AAA,R","23-30",20,18,4.104000116298134,180,6,0,0,10,8,,291.2,1255,290,150,133,15,88,3,16,19,4,261,"16058"
"Edubray Ramos","PHI","A+,AA,AAA","22-26",10,7,2.1753554278074074,104,2,0,0,25,8,,140.2,546,97,39,34,7,31,3,7,9,3,134,"16086"
"Zach Thompson","CHW","A,A+,AA,AAA","21-29",28,30,4.406072217888825,183,68,0,0,3,7,,527,2307,524,310,258,56,215,0,27,58,1,480,"16094"
"Cy Sneed","MIL","A,A+,AA,AAA","22-26",39,34,4.045350256373118,122,92,2,1,4,2,,580.2,2455,581,290,261,51,178,1,18,33,1,514,"16106"
"Daniel Ponce de Leon","STL","A,A+,AA,AAA","23-31",50,33,3.696088954448507,128,124,3,1,0,0,,630.2,2706,537,298,259,56,284,2,39,26,1,590,"16110"
"Jordan Romano","TOR","A,A+,AA,AAA,R","23-26",24,17,3.6306382507241333,94,69,1,0,5,0,,391.2,1668,353,197,158,28,140,0,30,18,8,391,"16122"
"Chris Ellis","LAA","A+,AA,AAA","22-29",46,44,4.847490418886905,171,118,3,2,3,4,,690.2,3019,669,396,372,75,310,3,43,45,2,653,"16125"
"John Curtiss","MIN","A,A+,AA,AAA,R","22-30",10,12,3.780000252342241,174,10,0,0,37,5,,266.2,1147,229,124,112,24,120,4,9,24,1,326,"16128"
"David Hess","BAL","A+,AA,AAA,CPX","21-28",40,34,4.280681098172482,130,92,2,1,1,4,,567.2,2423,558,296,270,67,193,4,8,32,1,483,"16130"
"Justin Shafer","TOR","A,A+,AA,AAA","22-26",22,24,3.7384617062391814,166,32,0,0,26,9,,368.1,1579,347,176,153,24,132,4,20,17,2,264,"16132"
"Brandon Leibrandt","PHI","A+,AA,AAA,R","22-29",34,23,3.6373995010069113,116,85,2,0,1,3,,497.1,2020,473,212,201,51,141,1,17,17,8,388,"16135"
"Aaron Nola","PHI","AA,AAA","22-24",11,4,2.256267565307396,20,20,0,0,0,0,,119.2,466,103,32,30,7,19,0,3,0,0,102,"16149"
"Eric Skoglund","KCR","A+,AA,AAA,CPX,R","22-29",22,26,4.177874292425292,95,85,2,0,0,0,,461,1946,476,236,214,57,112,2,21,13,4,387,"16155"
"Jace Fry","CHW","A+,AA,AAA","21-29",9,16,3.51537080224286,122,11,0,0,5,4,,184.1,788,160,83,72,9,81,3,10,22,0,214,"16159"
"Brandon Woodruff","MIL","A+,AA,AAA,R","22-29",28,23,3.3962266729072583,85,83,1,0,0,0,,424,1763,384,181,160,25,133,1,18,21,2,397,"16162"
"Daniel Gossett","OAK","A,A+,AA,AAA","22-29",35,31,3.739367638838452,122,107,3,1,0,0,,611.1,2586,557,307,254,55,229,1,13,56,5,551,"16164"
"Max Povse","ATL","A,A+,AA,AAA","21-24",23,26,4.344059405940594,83,74,0,0,0,0,,404,1718,401,218,195,23,125,3,25,21,8,365,"16165"
"Chandler Shepherd","BOS","A,A+,AA,AAA","22-28",25,36,4.406072265728954,182,63,1,0,16,4,,527,2276,567,298,258,65,149,4,15,20,0,470,"16166"
"Justin Anderson","LAA","A,A+,AA,AAA,CPX","22-29",20,24,4.567046345507838,127,50,0,0,2,3,,380.1,1673,414,217,193,30,144,1,22,22,1,311,"16201"
"Spencer Turnbull","DET","A,A+,AA,AAA,R","22-26",24,19,3.500000179114977,79,79,2,1,0,0,,396,1653,339,168,154,11,149,0,26,32,5,387,"16207"
"Brandon Finnegan","CIN","AA,AAA","22-29",8,21,6.012146073970891,134,31,0,0,1,4,,247,1144,270,187,165,29,152,4,13,14,0,248,"16208"
"Jake Reed","MIN","A,A+,AA,AAA","22-30",18,15,4.171564035249532,250,3,0,0,14,15,,351.2,1506,320,184,163,19,143,9,37,30,2,361,"16209"
"Brett Graves","OAK","A,A+,AA,AAA","22-28",27,28,4.731543765487527,142,66,0,0,9,1,,447,1942,456,259,235,39,168,2,26,32,3,353,"16218"
"Tejay Antone","CIN","A,A+,AA,AAA","21-27",37,32,3.530769274602655,103,95,2,0,1,1,,563.1,2386,599,274,221,36,149,2,22,26,5,436,"16233"
"Kyle Freeland","COL","A+,AA,AAA,R","22-28",15,17,4.421476634585599,43,43,0,0,0,0,,248.1,1051,259,134,122,25,72,0,5,8,1,168,"16256"
"Sam Howard","COL","A,A+,AA,AAA","22-29",34,37,3.6366135758696814,186,99,2,2,1,2,,606.1,2587,585,279,245,57,208,2,23,10,2,558,"16265"
"A.J. Ladwig","DET","A,A+,AA,AAA","22-29",58,47,4.282599476973866,146,131,1,0,0,0,,779.2,3295,884,417,371,100,119,0,28,13,2,549,"16266"
"John Means","BAL","A,A+,AA,AAA","22-28",34,38,3.878873218596159,111,107,3,3,0,0,,591.2,2552,649,305,255,54,142,1,23,42,0,467,"16269"
"Sam Clay","MIN","A,A+,AA,AAA,R","22-30",27,28,3.7959184679044373,226,37,1,0,22,5,,441,1957,424,219,186,9,243,5,35,44,2,458,"16279"
"Jesus Tinoco","TOR","A,A+,AA,AAA","20-27",37,38,4.6938026949845435,192,94,1,1,14,3,,634.2,2769,716,359,331,71,208,0,14,46,3,537,"16300"
"Gerardo Reyes","SDP","A,A+,AA,AAA","23-30",17,19,3.319148913720659,231,0,0,0,23,19,,282,1227,240,132,104,24,148,6,24,22,1,332,"16306"
"Austen Williams","WSN","A,A+,AA,AAA,R","22-26",23,36,3.9911309069045457,113,75,2,0,2,1,,451,1937,476,231,200,27,125,2,18,29,1,365,"16309"
"Alex McRae","PIT","A,A+,AA,AAA","22-28",41,51,4.5334500554000146,157,138,2,0,1,4,,762.1,3347,870,422,384,70,246,2,44,30,1,572,"16317"
"Ricardo Pinto","PHI","A,A+,AA,AAA","21-28",59,26,4.050000069231358,172,92,0,0,1,2,,706.2,2999,694,354,318,82,250,3,35,50,10,555,"16318"
"Eduardo Paredes","LAA","A,A+,AA,AAA","20-24",5,9,3.3701017457871454,183,0,0,0,40,17,,229.2,960,200,95,86,19,79,3,11,14,5,248,"16344"
"Gabriel Moya","ARI","A,A+,AA,AAA,R","20-24",17,7,2.2371426498880385,184,11,0,0,33,7,,233.1,935,172,65,58,16,73,3,7,11,3,310,"16348"
"Ryan Borucki","TOR","A,A-,A+,AA,AAA,R","21-29",28,22,3.557801290859382,97,71,2,1,0,1,,412.1,1713,379,183,163,29,128,1,23,22,4,385,"16350"
