Name,Team,Level,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,K%,BB%,ERA,FIP,WHIP,Pitches,Strikes,Oppo%,PlayerId
"Scott McGough","MIA","A+,AA,AAA",14,14,4.275000199601063,153,4,0,0,15,5,,240,1049,269,132,114,27,85,1,7,14,3,222,8.325000388696807,0.21163012,0.08102955,4.275000199601063,4.190679368595046,1.4750000688682032,3981,2538,0.3755102,"12056"
"Parker Markel","TBR","AA,AAA",24,11,3.6333331793325985,203,1,0,0,16,8,,270,1185,225,121,109,23,156,0,18,45,3,325,10.83333287415683,0.2742616,0.13164557,3.6333331793325985,4.152669612348967,1.4111110513004281,4833,2901,0.32011747,"12106"
"Kendry Flores","MIA","A+,AA,AAA",9,11,3.1499998327277012,41,39,0,0,0,0,,220,903,195,85,77,14,68,1,9,7,2,165,6.74999964155936,0.18272425,0.07530454,3.1499998327277012,3.930574060848467,1.1954544819731392,3471,2166,0.32272727,"12118"
"Jason Garcia","BAL","AA,AAA",23,20,5.184882644313756,113,41,1,0,0,4,,326.1,1482,371,209,188,24,164,2,26,30,1,254,7.005107402423905,0.17139001,0.11066127,5.184882644313756,4.469134767617401,1.6394280228769855,5555,3382,0.33044316,"12143"
"David Goforth","MIL","AAA",9,16,3.7579428583458845,166,4,0,0,13,8,,220.1,962,211,97,92,18,111,8,8,27,1,155,6.3313167722131745,0.16112266,0.11538462,3.7579428583458845,4.851180071117505,1.4614222226900662,3634,2195,0.32554745,"12166"
"Domingo Tapia","NYM","A+,AA,AAA",15,20,4.149590254657661,218,15,0,0,10,14,,325.1,1453,341,179,150,30,147,2,19,16,0,279,7.7182378736632495,0.19201652,0.10116999,4.149590254657661,4.435720265159655,1.5000000327947693,5288,3299,0.32043651,"12178"
"Cody Martin","ATL","AAA",18,20,4.604046445815531,80,61,0,0,2,0,,346,1491,345,191,177,39,126,4,19,15,0,342,8.895954149541872,0.22937626,0.08450704,4.604046445815531,4.3952104263962735,1.3612717363334055,5837,3637,0.3110668,"12182"
"Akeel Morris","NYM","A+,AA,AAA",17,14,4.068080261884241,185,14,0,0,29,9,,298.2,1276,242,145,135,27,143,2,9,22,6,360,10.848214031691308,0.28213166,0.11206897,4.068080261884241,3.736245795704073,1.289062469815171,4947,3144,0.27296588,"12185"
"Keith Hessler","ARI","A+,AA,AAA",11,7,3.7989949384622723,169,0,0,0,5,7,,199,859,196,99,84,21,87,5,3,10,0,205,9.271356695056737,0.23864959,0.10128056,3.7989949384622723,4.3244697914748755,1.422110539133364,3309,2099,0.3539823,"12220"
"Cody Hall","SFG","AA,AAA",7,8,3.6418606488700904,103,0,0,0,10,7,,143.1,619,131,66,58,10,64,2,1,6,0,137,8.602326015434524,0.22132472,0.10339257,3.6418606488700904,3.843522775682234,1.360465184922735,2371,1522,0.37439614,"12232"
